publish_date,source,headline,url,location,tone,framing,group_mentions,metaphors,euphemisms,absences,grief_handling,blame_or_agency,commodification_of_death
"Mar 11, 2020",The New York Times,"For 4 Days, the Hospital Thought He Had Just Pneumonia. ...",https://www.nytimes.com/2020/03/10/nyregion/coronavirus-new-rochelle-pneumonia.html,Indiana; New York State; Pneumonia; Manhattan,neutral,preventable,healthcare workers; New Yorkers,trickle effect; hamster wheel of life,susceptible to the illness he acquired,racial minorities; elderly; working-class; healthcare access; long COVID,private,The article suggests the deaths were potentially preventable with better hospital protocols and personal self-care.,"The article treats the situation as a learning opportunity for hospitals, focusing on systemic improvements rather than individual loss."
"Mar 12, 2020",The New York Times,"Deaths in China Rise, With No Sign of Slowdown",https://www.nytimes.com/2020/02/04/world/asia/coronavirus-china.html,Oregon; Indiana; Wuhan,neutral,inevitable,elderly; men; people with pre-existing health conditions,wave,,poverty; racism; workplace safety; healthcare access,absent,The article suggests the deaths are somewhat unavoidable due to the overwhelmed healthcare system and lack of resources.,The article treats death as a statistic and a part of the overall health crisis data.
"Mar 29, 2020",The New York Times,Who Should Be Saved First? Experts Offer Ethical Guidance,https://www.nytimes.com/2020/03/24/upshot/coronavirus-rationing-decisions-ethicists.html,Oregon; Indiana,neutral,inevitable,doctors; hospitals; patients; Italian doctors,predicament; dilemma,tragic decisions about who lives and who dies,racial minorities; elderly; disabled; working-class; healthcare access; poverty; inequality,absent,"The article suggests the deaths are unavoidable due to resource scarcity, with no specific blame assigned.","The article treats death as a logistical and ethical problem to be managed, focusing on resource allocation."
"Mar 15, 2020",The New York Times,The Workers Who Face the Greatest Coronavirus Risk,https://www.nytimes.com/interactive/2020/03/15/business/economy/coronavirus-worker-risk.html,The United States; Seattle; Washington State; Indiana; Washington,tragic,systemic injustice,working-class; health care workers; teachers; first responders; personal care aides; home health aides; service industry workers; sales workers; full-time workers; part-time workers; top 25 percent of earners; bottom 25 percent of earners,front lines,fall sick,poverty; racism; workplace safety; healthcare access,absent,The article implicitly assigns responsibility to systemic factors such as lack of paid sick leave and inadequate protections for low-wage workers.,"The article treats death and illness as a statistic, focusing on risk levels and economic impacts rather than personal stories of loss."
"Mar 12, 2020",The New York Times,How the World's Largest Coronavirus Outbreaks Are Growing,https://www.nytimes.com/interactive/2020/world/coronavirus-maps-italy-iran-korea.html,Khuzestan; China; Egypt; Wuhan; United States; Hungary; Venice; The United States; Indiana; Berlin; Japan; The United Kingdom; Iran; Italy; Seoul; North Korea; Tehran; Germany; Paris; South Korea’S; Spain; Oregon; Chungnam; Lombardy; Milan; E.T.; Rome; Qom; South Korea; Europe; The Middle East; France; Indonesia; Madrid; Toronto,neutral,inevitable,elderly; government officials; religious congregations,spread; outbreak; epidemic,cases; infections; spread,poverty; racism; healthcare access; long COVID; workplace safety,absent,"The article suggests that government actions and inactions, such as lack of early protective measures and insufficient testing, have contributed to the spread of COVID-19.","The article treats death as a statistic and a political talking point, focusing on numbers and government responses rather than personal stories or communal grief."
"Mar 26, 2020",The New York Times,De Blasio Calls Stimulus Deal's Treatment of N.Y.C. 'Immoral',https://www.nytimes.com/2020/03/25/nyregion/coronavirus-new-york-update.html,Delaware; California; New York City; New York State; Easter; United States; Indiana,tragic,political failure,New Yorkers; U.S. Senate; federal government; U.S. military,crush of new cases,a very limited experience,racial minorities; working-class; elderly; disabled; healthcare access; poverty; long COVID,absent,The article assigns responsibility to the U.S. Senate and specifically Senator Mitch McConnell for not including sufficient funds for New York City in the stimulus bill.,"The article treats death as a political talking point, focusing on the lack of financial support and political maneuvering rather than individual or communal loss."
"Mar 10, 2020",The New York Times,First Coronavirus Death in New Jersey: Yonkers Raceway ...,https://www.nytimes.com/2020/03/10/nyregion/coronavirus-death-nj.html,Yonkers; New Jersey; N.Y.; New York City; New Rochelle; New York State; Indiana,neutral,inevitable,New Jersey residents; health officials,cluster,,elderly; racial minorities; working-class; disabled; children; incarcerated people; undocumented immigrants; poverty; racism; healthcare access,absent,"The article does not assign specific blame or agency, suggesting the deaths were part of an ongoing situation.",The article treats death as a statistic and part of a broader public health response.
"Mar 28, 2020",The New York Times,"James L. Dolan, the Knicks Owner, Tests Positive for ...",https://www.nytimes.com/2020/03/28/sports/basketball/coronavirus-james-dolan-knicks.html,Indiana; N.B.A.,neutral,other,professional sports franchises,,,elderly; racial minorities; working-class; disabled; children; incarcerated people; undocumented immigrants; healthcare access; poverty; racism; long COVID; workplace safety,absent,The article does not assign blame or agency; it suggests the situation is being managed according to guidelines.,The article implicitly treats the situation as a matter of business operations and health management.
"Mar 21, 2020",The New York Times,"As Natural Disasters Strike, a New Fear: Relief Shelters ...",https://www.nytimes.com/2020/03/21/climate/virus-fema-disaster-aid-shelter.html,Hawaii; The United States; Omaha; Indiana; Washington,concerned,systemic challenge,emergency managers; disaster-response work force,hot spots; taxed; accelerate,,elderly; racial minorities; working-class; disabled; children; incarcerated people; undocumented immigrants; poverty; racism; healthcare access,absent,The article suggests systemic challenges and climate change as contributing factors but does not assign direct blame or agency for COVID deaths.,The article treats death as a potential statistic in the context of disaster-response logistics.
,The New York Times · The New York Times,Video: Opinion | The President Is Lying About Coronavirus,https://www.nytimes.com/video/opinion/100000007038780/trump-lies-about-coronavirus.html,Oregon; The United States; Indiana; Us,indifferent,political failure,American people; medically high-risk patient,curve; ahead of the curve; behind it,passed away,elderly; racial minorities; working-class; disabled; children; incarcerated people; undocumented immigrants; poverty; racism; healthcare access; workplace safety,absent,The article assigns responsibility to the President and his administration for failing to adequately respond to the crisis.,Death is treated as a statistic and political talking point.
"Mar 28, 2020",The New York Times,"New Rochelle, Once a Coronavirus Hot Spot, May Now ...",https://www.nytimes.com/2020/03/27/nyregion/new-rochelle-coronavirus.html,Oregon; South Korea; N.Y.; New York City; New Rochelle; Westchester County; Indiana; Bronxville,neutral,preventable,synagogue members; health officials; hospital workers,punishment turned out to be a blessing in disguise,,racial minorities; working-class; elderly; healthcare access; long COVID,absent,"The article implies that aggressive testing and confinement orders could prevent further spread, suggesting some agency in controlling the outbreak.",The article treats the outbreak as a case study in public health strategy rather than focusing on individual losses.
